,AUTEURS,DATES,LIENS,RUBRIQUES
0,Informatica, 15/11/2004,https://www.decideo.fr/Informatica-nomme-partenaire-logiciel-certifie-pour-la-suite-d-applications-Enterprise-Performance-Management-de_a306.html,comunique
0,Hyperion, 15/11/2004,https://www.decideo.fr/HYPERION-SE-POSITIONNE-A-NOUVEAU-DANS-LA-CATEGORIE-VISIONARIES-DU-NOUVEAU-MAGIC-QUADRANT-SUR-LA-GESTION-DE-LA_a307.html,comunique
0,SPSS, 16/11/2004,https://www.decideo.fr/SPSS-grimpe-dans-le-classement-DM-REVIEW-100-2004_a304.html,comunique
0,Business & Décision, 16/11/2004,https://www.decideo.fr/Business-Decision-renforce-sa-presence-en-Suisse-via-une-prise-de-participation-dans-Integrated-Solutions_a308.html,comunique
0,Cognos, 16/11/2004,https://www.decideo.fr/COGNOS-IDENTIFIE-COMME-VISIONAIRE-DANS-LA-DERNIERE-ETUDE-CPM-DU-GARTNER_a310.html,comunique
0,Ascential Software, 18/11/2004,https://www.decideo.fr/Ascential-Software-renforce-sa-presence-sur-la-peninsule-iberique_a313.html,comunique
0,Cognos, 19/11/2004,https://www.decideo.fr/COGNOS-ET-DELOITTE-ANNONCENT-UNE-NOUVELLE-SOLUTION-DE-GESTION-DE-LA-PERFORMANCE-DES-APPLICATIONS-SCM_a311.html,comunique
0,Aexis, 23/11/2004,https://www.decideo.fr/Aexis-annonce-d-excellents-resultats-de-performance-de-la-solution-Geac-MPC-sur-plateforme-Microsoft_a323.html,comunique
0,Business & Décision, 23/11/2004,https://www.decideo.fr/Business-et-Decision-lance-une-offre-de-detection-d-activites-de-blanchiment-de-capitaux-avec-l-editeur-suisse-kdlabs_a325.html,comunique
0,Cognos, 24/11/2004,https://www.decideo.fr/COGNOS-REPORTNET-ETEND-SA-CERTIFICATION-SAP-ET-OFFRE-AUX-CLIENTS-INTERNATIONAUX-UNE-SOLUTION-DE-REPORTING-D-ENTREPRISE_a318.html,comunique
0,Hummingbird, 24/11/2004,https://www.decideo.fr/Sonepar-France-annonce-avoir-retenu-Genio-le-logiciel-d-integration-de-donnees-edite-par-Hummingbird-afin-d-alimenter_a322.html,comunique
0,Teradata, 25/11/2004,https://www.decideo.fr/Teradata-en-tete-du-classement-sur-l-evaluation-des-serveurs-d-applications-d-entrepots-de-donnees-pour-la-cinquieme_a320.html,comunique
0,SAS, 25/11/2004,https://www.decideo.fr/SAS-annonce-SAS-Financial-Intelligence-un-ensemble-unique-de-solutions-financieres-decisionnelles_a321.html,comunique
0,Aexis, 26/11/2004,https://www.decideo.fr/DELOITTE-choisit-Aexis-et-la-solution-Gold-Partner-Geac-MPC-pour-optimiser-son-processus-budgetaire_a327.html,comunique
0,Cognos, 26/11/2004,https://www.decideo.fr/SYMANTEC-ENTERPRISE-SECURITY-MANAGER-INTEGRE-COGNOS-REPORTNET_a328.html,comunique
0,Reportive, 29/11/2004,https://www.decideo.fr/Reportive-obtient-la-certification-Gold-Certified-Partner-de-Microsoft-dans-le-domaine-d-expertise-ISV-Software_a329.html,comunique
0,Homsys Group, 29/11/2004,https://www.decideo.fr/Homsys-Group-Chiffre-d-affaires-du-3eme-trimestre-2004-Croissance-organique-de-l-activite-au-30-09-04-65_a330.html,comunique
0,DataMirror, 29/11/2004,https://www.decideo.fr/DataMirror-lance-le-programme-de-partenariat-DataWorld_a331.html,comunique
0,Axyus, 30/11/2004,https://www.decideo.fr/axYus-CA-2004-EN-FORTE-HAUSSE-CA-2005-RICHE-EN-PERSPECTIVES_a333.html,comunique
